review_id,product_id,rating,review_title,review_text,review_date,reviewer_name,verified_purchase,helpful_votes
R0000001,P0001751,3,Noise cancellation is impressive,Noise cancellation is top-notch and video stabilization is inconsistent.,2024-06-07,Farhan G.,0,55
R0000002,P0001463,5,Video stabilization is solid,Video stabilization is excellent and build quality is solid.,2025-12-01,Priya W.,Yes,208
R0000003,P0001997,4,Refresh rate is mediocre,Refresh rate is excellent and performance is reliable.,2023-08-22,Kavya E.,0,126
R0000004,P0000410,5,Display is mediocre,Display is excellent and port selection is solid.,2024-03-30,Ira Z.,1,19
R0000005,P0001012,4,Software is mediocre,Software is reliable and fit is solid.,2023-06-23,Rohan A.,0,225
R0000006,P0001066,5,Contrast is solid,Contrast is mediocre and camera is excellent.,2024-08-24,Sana E.,No,41
R0000007,P0000614,4,Refresh rate is mediocre,Refresh rate is excellent and Bluetooth connectivity is excellent.,2024-09-20,Aarav E.,False,250
R0000008,P0000300,5,Video stabilization is impressive,Video stabilization is mediocre and Wi-Fi range is inconsistent.,2025-08-04,Vikram X.,1,159
R0000009,P0000061,4,Image quality is mediocre,Image quality is top-notch and software is weak.,2025-09-04,Aditi W.,False,93
R0000010,P0001802,5,Software is solid,Software is top-notch and Bluetooth connectivity is inconsistent.,2025-01-18,Ritu Y.,1,122
R0000011,P0001743,4,Bluetooth connectivity is poor,Bluetooth connectivity is reliable and contrast is weak.,2024-10-07,Anaya S.,False,14
R0000012,P0001144,4,Refresh rate is great,Refresh rate is reliable and ergonomics is solid.,2024-07-18,Rahul K.,No,111
R0000013,P0000311,5,Image quality is solid,Image quality is mediocre and heart rate accuracy is inconsistent.,2025-03-18,Kavya J.,True,32
R0000014,P0000518,3,Noise cancellation is great,Noise cancellation is top-notch and display is reliable.,2024-08-04,Ritu Q.,Yes,134
R0000015,P0001837,1,Software is solid,Software is mediocre and HDR is weak.,2025-07-18,Ritu I.,True,151
R0000016,P0000469,3,Build quality is solid,Build quality is underwhelming and contrast is solid.,2024-11-10,Priya J.,Yes,170
R0000017,P0001096,5,Bluetooth connectivity is great,Bluetooth connectivity is excellent and camera is inconsistent.,2024-07-15,Sana C.,False,165
R0000018,P0000322,2,Bluetooth connectivity is great,Bluetooth connectivity is excellent and notifications is weak.,2024-03-17,Farhan S.,Yes,37
R0000019,P0001580,5,Ergonomics is mediocre,Ergonomics is excellent and Bluetooth connectivity is excellent.,2025-09-20,Karan X.,True,122
R0000020,P0001530,2,Notifications is impressive,Notifications is mediocre and port selection is excellent.,2023-05-10,Ritu C.,1,215
R0000021,P0000390,5,Display is solid,Display is top-notch and notifications is inconsistent.,2023-08-30,Anaya W.,0,112
R0000022,P0001270,1,Notifications is poor,Notifications is underwhelming and video stabilization is inconsistent.,2023-12-23,Priya Z.,No,114
