product_id,product_title,brand,category,subtype,price,sku_asin,seller_external_id
P0000001,Canon S2 Router,Canon,Electronics,Router,198.94,BCLJCQPKZF,S0000001
P0000002,Huawei M3 64GB Laptop,Huawei,Electronics,Laptop,457.33,BWPTDYSFS9,S0000002
P0000003,Redmi S1 Smartwatch,Redmi,Electronics,Smartwatch,481.90,BHQ9O44GPK,S0000003
P0000004,LG X2 Smartwatch,LG,Electronics,Smartwatch,551.94,BX6XS102QT,S0000004
P0000005,Lenovo Prime 128GB Laptop,Lenovo,Electronics,Laptop,3886.19,BMWQJMP158,S0000005
P0000006,JBL Ultra 512GB Laptop,JBL,Electronics,Laptop,2331.70,B5TIN7NB2F,S0000006
P0000007,Dell Neo Headphones,Dell,Electronics,Headphones,63.19,BW9N8Z4ATY,S0000007
P0000008,Redmi Pro Speaker,Redmi,Electronics,Speaker,663.96,BTTTG71D6T,S0000008
P0000009,Boult X1 512GB Laptop,Boult,Electronics,Laptop,996.63,BT2ZK0KBDZ,S0000009
P0000010,Xiaomi S2 128GB Tablet,Xiaomi,Electronics,Tablet,213.45,B6CBQ3NDOR,S0000010
P0000011,Canon S1 Router,Canon,Electronics,Router,386.79,BERY6P1I8R,S0000001
P0000012,Netgear X2 Router,Netgear,Electronics,Router,273.52,B6PNMP43VM,S0000002
P0000013,Vivo Pro Smartwatch,Vivo,Electronics,Smartwatch,650.85,B72SNYC1BS,S0000003
P0000014,JBL Lite 128GB Smartphone,JBL,Electronics,Smartphone,334.31,B5RWKYK6ZM,S0000004
P0000015,Samsung S1 Router,Samsung,Electronics,Router,162.42,B8VR7I7D3M,S0000005
P0000016,Samsung Edge Speaker,Samsung,Electronics,Speaker,168.80,BDUB6FQZKC,S0000006
P0000017,Netgear Edge 32GB Laptop,Netgear,Electronics,Laptop,3956.02,BDWA9BEP44,S0000007
P0000018,GoPro Lite Earbuds,GoPro,Electronics,Earbuds,21.54,BJAACUODO7,S0000008
P0000019,Sennheiser Pro 512GB Smartphone,Sennheiser,Electronics,Smartphone,1430.48,BPVX9LOR3E,S0000009
P0000020,boAt Go TV,boAt,Electronics,TV,3777.84,BG2S3056A4,S0000010
P0000021,Nokia Air Camera,Nokia,Electronics,Camera,4324.60,BSU65ZN2EI,S0000001
P0000022,Netgear X1 Monitor,Netgear,Electronics,Monitor,322.62,BYCVBHIWX7,S0000002
P0000023,Canon X3 256GB Tablet,Canon,Electronics,Tablet,805.93,BMLS5KYX9K,S0000003
P0000024,MSI S2 128GB Laptop,MSI,Electronics,Laptop,1448.47,BLYGR3YOA7,S0000004
P0000025,OPPO M3 Earbuds,OPPO,Electronics,Earbuds,237.97,BVEXV2O4NV,S0000005
P0000026,Garmin Prime Smartwatch,Garmin,Electronics,Smartwatch,394.89,BTLL9R6WL2,S0000006
P0000027,LG X1 Router,LG,Electronics,Router,382.50,BA1DOJCGTO,S0000007
P0000028,Nikon Prime 64GB Laptop,Nikon,Electronics,Laptop,3678.20,B57AZT8XXN,S0000008
P0000029,Nikon Neo Router,Nikon,Electronics,Router,207.86,BDX17QBSC8,S0000009
P0000030,OnePlus Ultra 64GB Tablet,OnePlus,Electronics,Tablet,525.78,BXVEALK0TM,S0000010
P0000031,Nikon Z3 Camera,Nikon,Electronics,Camera,2368.43,B3W65P1AES,S0000001
P0000032,Vivo X2 Headphones,Vivo,Electronics,Headphones,308.65,BX5UL1V8H1,S0000002
P0000033,Sony M3 Smartwatch,Sony,Electronics,Smartwatch,1005.37,BOIGRI1LUJ,S0000003
P0000034,Apple Neo TV,Apple,Electronics,TV,4242.00,BNN2ASYQ2T,S0000004
P0000035,TP-Link Pro Monitor,TP-Link,Electronics,Monitor,1562.10,B05PF7966F,S0000005
P0000036,D-Link Lite Camera,D-Link,Electronics,Camera,1582.95,BD9A7Z28C7,S0000006
P0000037,ASUS Bolt Router,ASUS,Electronics,Router,306.13,BJT4ULG08Q,S0000007
P0000038,Samsung Go Earbuds,Samsung,Electronics,Earbuds,30.95,BRE52W52SS,S0000008
P0000039,Huawei S1 128GB Tablet,Huawei,Electronics,Tablet,221.83,BBGC8TQWWB,S0000009
P0000040,OnePlus M3 Earbuds,OnePlus,Electronics,Earbuds,291.94,BDGA1PW2V5,S0000010
P0000041,Netgear X3 TV,Netgear,Electronics,TV,3563.87,BFDWLOXQ2Z,S0000001
P0000042,D-Link Pro Earbuds,D-Link,Electronics,Earbuds,237.01,B109FHNLEH,S0000002
P0000043,Realme Edge Headphones,Realme,Electronics,Headphones,531.00,BIT9LJF3A2,S0000003
P0000044,Nokia Edge Camera,Nokia,Electronics,Camera,303.51,BETFFDUTXY,S0000004
P0000045,GoPro Lite Headphones,GoPro,Electronics,Headphones,288.52,B6SQVEMWNH,S0000005
P0000046,JBL Pro 256GB Smartphone,JBL,Electronics,Smartphone,1057.21,BWIJ3JBYM6,S0000006
P0000047,boAt Neo 32GB Laptop,boAt,Electronics,Laptop,1711.16,BTVXOJ37EM,S0000007
P0000048,Apple S1 512GB Smartphone,Apple,Electronics,Smartphone,1314.04,BG5A0XC3N8,S0000008
P0000049,D-Link Pro 32GB Laptop,D-Link,Electronics,Laptop,2050.92,BWGXQPH41A,S0000009
P0000050,MSI Z3 Smartwatch,MSI,Electronics,Smartwatch,967.58,BUR1O4MYMX,S0000010
P0000051,Netgear Go Camera,Netgear,Electronics,Camera,2962.28,BJ7KERN81E,S0000001
P0000052,Audio-Technica M3 256GB Tablet,Audio-Technica,Electronics,Tablet,193.24,B1I1CL7AEX,S0000002
P0000053,Samsung Neo 256GB Laptop,Samsung,Electronics,Laptop,1135.01,BSELFCFHDC,S0000003
P0000054,JBL Lite 256GB Tablet,JBL,Electronics,Tablet,724.14,BO7DAOZ9C6,S0000004
P0000055,Motorola X2 Camera,Motorola,Electronics,Camera,2494.28,B5YFWRO8H5,S0000005
P0000056,ASUS Prime Monitor,ASUS,Electronics,Monitor,353.85,BPNVL65X6G,S0000006
P0000057,GoPro X3 Smartwatch,GoPro,Electronics,Smartwatch,57.45,B51652LQPL,S0000007
P0000058,Sony Go 256GB Laptop,Sony,Electronics,Laptop,3855.30,BAELZCB5ZE,S0000008
P0000059,GoPro Go Router,GoPro,Electronics,Router,92.23,B2R2COYFH0,S0000009
P0000060,Nikon X2 Speaker,Nikon,Electronics,Speaker,799.89,BJ4HKF83JH,S0000010
P0000061,Vivo X1 Speaker,Vivo,Electronics,Speaker,41.08,BU47U5HYEI,S0000001
P0000062,Garmin M3 256GB Tablet,Garmin,Electronics,Tablet,1064.90,BIIC9NI26V,S0000002
P0000063,Sony Lite Earbuds,Sony,Electronics,Earbuds,76.74,BXP305QZ6X,S0000003
P0000064,Sennheiser Neo Router,Sennheiser,Electronics,Router,212.85,B1GBCQEHE4,S0000004
P0000065,HP S3 Monitor,HP,Electronics,Monitor,1547.72,BIF9S3R1SR,S0000005
P0000066,Boult S3 Speaker,Boult,Electronics,Speaker,558.53,BQ0R4DQQJN,S0000006
P0000067,Boult Prime Monitor,Boult,Electronics,Monitor,1690.19,BV3MDI4YJB,S0000007
P0000068,Amazfit X2 Monitor,Amazfit,Electronics,Monitor,1801.61,BMFNJMOG9K,S0000008
P0000069,Sennheiser Edge Speaker,Sennheiser,Electronics,Speaker,280.02,BT08I7LQJR,S0000009
P0000070,Huawei Prime 256GB Tablet,Huawei,Electronics,Tablet,1397.46,BEFQKGYT7P,S0000010
P0000071,LG X2 Monitor,LG,Electronics,Monitor,1778.69,BNX21AFXF2,S0000001
P0000072,MSI Lite Speaker,MSI,Electronics,Speaker,120.63,BO9RL8OG7W,S0000002
P0000073,Canon Bolt Headphones,Canon,Electronics,Headphones,222.60,BDO6QK5UCF,S0000003
P0000074,Realme Ultra Camera,Realme,Electronics,Camera,1423.01,B56IL6GGSC,S0000004
P0000075,LG Go Earbuds,LG,Electronics,Earbuds,198.52,B20KDOESLT,S0000005
P0000076,Lenovo Go Router,Lenovo,Electronics,Router,126.37,BBQZ6PTD6H,S0000006
P0000077,Lenovo Bolt 64GB Laptop,Lenovo,Electronics,Laptop,1982.99,B39DABZWY5,S0000007
P0000078,D-Link X1 256GB Tablet,D-Link,Electronics,Tablet,1234.99,BQ8UZO6PZG,S0000008
P0000079,boAt Go Smartwatch,boAt,Electronics,Smartwatch,826.35,B980LTQ3CJ,S0000009
P0000080,Sennheiser S1 Earbuds,Sennheiser,Electronics,Earbuds,388.57,BZ2A6ZEKCW,S0000010
P0000081,Dell Lite Headphones,Dell,Electronics,Headphones,401.57,BAH97IW92F,S0000001
P0000082,Boult X1 Smartwatch,Boult,Electronics,Smartwatch,1085.14,BWQINDIBB1,S0000002
P0000083,D-Link X2 64GB Laptop,D-Link,Electronics,Laptop,1050.67,B1XEZCAM2Q,S0000003
P0000084,Nikon X2 512GB Tablet,Nikon,Electronics,Tablet,1076.26,BB2F2QHI5L,S0000004
P0000085,OnePlus Prime Earbuds,OnePlus,Electronics,Earbuds,274.78,B41R6F0LSA,S0000005
P0000086,boAt S3 Camera,boAt,Electronics,Camera,1791.42,BLD4Y0CPPK,S0000006
P0000087,Canon X3 Smartwatch,Canon,Electronics,Smartwatch,601.45,BFSGM7UQMK,S0000007
P0000088,Samsung S1 512GB Smartphone,Samsung,Electronics,Smartphone,1552.86,BAJ7K34V7R,S0000008
P0000089,Nikon Prime Speaker,Nikon,Electronics,Speaker,460.62,B8W6K5L717,S0000009
P0000090,Canon S1 Smartwatch,Canon,Electronics,Smartwatch,516.30,BDKC5M222X,S0000010
P0000091,Amazfit S2 Earbuds,Amazfit,Electronics,Earbuds,285.72,BYCL1EBML4,S0000001
P0000092,Vivo M3 Router,Vivo,Electronics,Router,120.39,BCJZI4Z195,S0000002
